	X120314	X120322	X120328	X120403	X120416	X120419	X120423	X120516	X120531	X120604	X120613	X120619	X120628	X120705	X120709	X120717	X120802	X120806	X120813	X120820	X120823	X120828	X120903	X120920	X120924	X121001	X121004	X121015	X121022	X121028	X121105	X121128	X121220	P1994_101	P1994_102	P1994_103	P1994_104	P1994_105	P1994_106	P1994_107	P1994_108	P1994_109	P1994_110	P1994_111	P1994_112	P1994_113	P1994_114	P1994_115	P1994_116	P1994_117	P1994_118	P1994_119	P1994_120	P1994_121	P1994_122	P1994_123	P1994_124	P1994_125	P1994_126	P1994_127	P1994_128	P1994_129	P1994_130	P2236_101	P2236_102	P2236_103	P2236_104	P2236_105	P2236_106	P2236_107	P2236_108	P2236_109	P2236_110	P2236_111	P2236_112	P2236_113	P2236_114
M00171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00173	261.9530412	117.4732751	82.17204035	70.63339463	87.02511212	89.60887884	73.68439089	106.6724349	56.47129936	121.0516353	67.96713726	99.88181746	133.1203907	112.1118162	113.5630987	91.24940498	101.8430566	87.42745129	99.95892981	113.4724226	146.2027423	118.6533667	146.9547304	139.4409533	128.1725471	198.6117636	235.8924328	166.8915999	111.885861	78.19663924	213.198234	148.7283428	133.6893752	221.7136981	298.8177472	247.6763474	270.3795888	119.7420798	325.9752483	262.9132158	224.4650769	235.4024376	168.3154745	159.8676026	172.2749595	142.8800329	118.6368149	115.8963706	155.549563	139.9450622	125.5315044	157.2013251	207.0543634	212.5205491	94.04237873	249.356106	246.1172509	106.2626997	176.113244	130.3008986	134.0573576	255.2895031	241.4681107	132.0529304	359.5803991	137.9031662	340.4752867	157.6075642	314.9967351	167.870412	320.3138117	36.69035905	202.2082396	189.7110987	254.8242105	218.7676723	206.4585532
M00174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00175	27.1531976	29.93802543	25.87126548	17.72683621	28.79402847	52.98050122	8.21947941	37.74834109	79.08941331	39.07863545	129.402001	93.51453872	93.19941978	36.11799922	77.5847736	67.67295425	72.42358313	73.60504699	81.48475962	58.2315727	54.62694706	36.78462963	44.21423999	36.82154063	57.30033063	51.72230948	72.33032556	47.95003557	47.54945848	58.74629194	51.23829032	25.93087879	21.53104521	226.4626182	24.94544055	22.08678472	194.4455814	12.45809384	38.66046923	201.4495942	36.57207591	30.46481303	162.9752714	146.3229418	33.60078736	118.2843607	139.0218767	48.14652421	139.0969772	129.4008967	110.0531196	196.5215103	153.3978554	33.57935888	199.6614466	14.72913533	88.23073727	108.6675643	53.66295618	12.38423769	151.7518374	22.45291697	21.04695086	17.80645344	7.635378212	41.7801784	44.29386209	167.4440935	84.22441374	149.215179	42.246038	69.59427354	178.9436694	100.0676685	110.4599317	119.6269554	6.872469756
M00176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00307	0.127063496	0.106653823	0.78039004	0	0.638336549	0.435461123	0	0	0	0	0	0.6293954	0	0	0	0	0.39329548	0.267721869	0.062331797	0.601935013	0.672978356	1.291228959	1.248982863	0.407395971	0.287673798	0.790961101	0.59982372	0.376163165	0.365858001	0	0	1.013329942	2.510914234	0	5.239795761	11.86646089	0.168917379	0.416403481	17.52765339	0.283456757	1.877882662	1.872130548	0.197408954	0.133566376	1.947840883	0.265568407	0.077268206	0.171071406	0.548862664	0.045088033	0.811526786	0	0.102455489	9.943251682	0.038650315	0.40350267	37.91299887	0.031449699	0.11626221	0.991739764	0.06160767	5.867725399	5.732529623	5.274403358	20.93256982	15.91226878	29.29694692	21.51366099	27.6535174	24.29660542	33.78389898	0	0	30.56156519	25.5617575	32.54184436	6.260930664
M00308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00309	54.96680212	17.43053145	19.97554686	18.79508702	10.53562974	14.85541086	9.976093818	9.040542712	6.133395806	11.37436738	7.576287093	15.12358179	20.13898318	22.1374881	25.91174851	38.82178094	49.32935775	31.44634275	37.34535935	39.71488941	24.77112538	21.43995833	28.12384939	41.28065355	32.44182718	38.41163518	53.37596338	22.83078388	20.2184637	20.04443867	43.02781228	23.03124498	31.75641791	19.86889256	84.85902581	75.39232417	26.89627369	47.70228737	309.4060042	31.08764834	49.97119095	56.1474906	31.28869551	24.36329295	32.81472713	53.78159023	24.96003119	52.79359617	28.4066915	19.34082207	25.33183243	6.955280623	7.394450192	112.4552991	10.5007102	103.8212219	386.5166784	51.91688839	77.46444972	32.43492967	7.616817215	96.16040204	85.03442406	148.3779894	102.1057212	202.5291155	110.5980435	623.5261535	564.5976204	542.04651	327.7917921	12.3525226	17.57505617	275.5451151	32.5824926	465.7603868	124.5684086
M00338	7.789173545	1.886165101	13.50591475	19.79652319	5.271805072	4.502764627	5.158461535	3.356827976	8.478260008	9.02924586	7.483945335	8.708097108	5.612093231	4.880620458	8.514175773	7.229984184	5.605543643	11.68020434	10.99241161	2.636658965	8.561699434	10.09502474	8.361476686	4.40384279	7.554090532	3.602148211	3.447562066	3.190762204	3.942821169	14.91481689	1.205967807	3.192175632	1.173113227	19.82938265	0.987255085	1.176890442	25.02017191	2.371418235	0.456423238	2.997667756	1.19345744	1.856851346	7.430262846	6.624847599	5.516687737	9.849200615	15.16561251	4.190534745	29.3572922	16.94580011	8.55348972	25.21218294	27.68682384	2.566982358	26.49671793	3.007771819	0.722514596	26.64751912	10.40249781	1.732639048	29.45180193	3.132545051	2.258838961	5.760269082	0.84176265	1.497898602	0.260714561	0.461535545	0.307859376	1.521119814	0.631205523	17.20886251	24.7464491	2.887207889	2.792946007	1.302453772	6.611920621
M00344	170.2339773	226.5458432	145.2908792	166.6953401	216.1418284	285.4212651	166.8155588	164.7486522	152.2822869	197.8899445	137.3703522	173.4911909	177.8939376	204.8532623	120.5218807	130.7582143	187.9446072	172.7450659	226.3927503	215.1749253	233.2025781	150.7830679	173.4326066	190.2731759	213.8016438	191.4258766	182.4044611	186.9722053	171.1021083	141.3849402	200.7557155	184.9415363	196.808896	219.9475946	295.4649903	229.4417725	363.8770014	213.0623629	173.8809033	241.5129193	253.8519258	246.8812442	230.914566	221.879449	201.9387194	207.0836547	208.3466901	149.8208467	239.637281	219.7768186	198.6127614	249.2298121	249.6357246	231.2451117	170.2948819	215.0360559	197.8275424	215.6868974	224.3287832	209.6324289	229.5043457	210.9031073	210.3020839	114.8833011	219.3961465	111.587301	189.4093351	143.100645	135.5023927	162.8566667	179.5238917	101.5075269	218.8786326	198.2984659	196.0555871	177.1759034	163.3789657
M00345	324.5913053	407.8410041	232.0212175	252.4892948	348.6263905	406.063121	302.7939339	432.9164736	360.4287071	386.3986201	276.6230357	473.197635	474.2912188	446.3295417	310.9820339	375.8309623	365.6738857	314.2953179	400.7889504	461.1612516	432.014041	319.3414105	395.031448	541.3524097	375.1809735	518.4346225	517.1724231	425.7323715	378.7114175	298.3306784	505.7506091	347.1079355	393.0908599	485.2457465	688.6634687	622.2871632	533.9933038	301.4817559	401.4074386	454.6057268	371.7599221	354.6493768	414.2029857	437.834036	488.8119037	372.076802	390.0938681	319.5210139	381.3303269	366.1127325	387.401099	383.0438728	333.7659404	385.1735415	267.6740945	309.3843086	436.7353147	364.2846547	430.0326278	399.7745148	302.5244636	358.8768498	375.3408897	276.7566832	453.0787755	278.973404	461.0057574	401.7983883	462.6401059	365.4593212	473.5110418	173.9559285	478.1805485	426.9434403	489.3263799	391.7733983	335.9670361
M00346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00356	8.501460829	1.246873158	2.733080512	3.089023671	1.745731564	1.585351632	0	0	1.86839231	0	2.211270176	3.076298807	2.810451724	1.301692457	0.197826508	0	1.616841017	3.289952837	2.207738344	1.02458243	2.110966481	1.36433159	1.373881149	4.04314859	0.543865076	1.858871153	5.074184445	2.008812876	0.571573803	2.617818587	6.410793989	5.292766174	17.69022398	3.933933428	66.32429887	48.52141838	4.561566631	4.808981683	189.9431568	8.91893848	27.58151344	30.57947506	2.640971646	3.025145781	31.59979671	3.322857376	3.757506923	8.395251974	7.712196087	5.457161481	10.26981158	7.752078571	3.340104116	48.76866292	13.29778428	9.047726182	482.9660906	4.781142728	8.748241333	14.1518704	5.807050755	39.73408589	42.59332406	110.1673514	110.8629441	204.5228707	160.2362759	694.1757557	712.795156	594.5011899	425.559016	3.693667466	13.90189736	178.9947119	57.50902159	733.678291	61.09624605
